"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group","Option.Set","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four","Map.To","Last.Inventory.Year","Created_Date","Revised_Date","Usage.Notes"
"1","10100101","Point","Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Anthracite Coal","Pulverized Coal",NA,NA,"","",""
"2","10100102","Point","Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Anthracite Coal","Traveling Grate (Overfeed) Stoker",NA,NA,"","",""
"3","10100201","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Bituminous Coal)",NA,NA,"","",""
"4","10100202","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Bituminous Coal)",NA,NA,"","",""
"5","10100203","Point","Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Bituminous Coal)",NA,NA,"","",""
"6","10100204","Point","Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Bituminous Coal)",NA,NA,"","",""
"7","10100205","Point","Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Bituminous Coal)",NA,NA,"","",""
"8","10100211","Point","Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential)","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Wet Bottom (Tangential) (Bituminous Coal)",NA,NA,"","",""
"9","10100212","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)",NA,NA,"","",""
"10","10100215","Point","Ext Comb /Electric Gen /Bituminous Coal /Cell Burner","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Bituminous Coal)",NA,NA,"","",""
"11","10100217","Point","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)",NA,NA,"","",""
"12","10100218","Point","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)",NA,NA,"","",""
"13","10100221","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)",NA,NA,"","",""
"14","10100222","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)",NA,NA,"","",""
"15","10100223","Point","Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)",NA,NA,"","",""
"16","10100224","Point","Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)",NA,NA,"","",""
"17","10100225","Point","Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)",NA,NA,"","",""
"18","10100226","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)",NA,NA,"","",""
"19","10100235","Point","Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Subbituminous Coal)",NA,NA,"","",""
"20","10100237","Point","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Subbitum Coal)",NA,NA,"6/6/2003 0:00:00","",""
"21","10100238","Point","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion - Circulating Bed (Subbitum Coal)",NA,NA,"","",""
"22","10100300","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal","","","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Wet Bottom",NA,NA,"","",""
